,Meter identifier,Aerial_info,dc_day,dc_month,dc_week,latitude,longitude
7203,M64904,No Aerial,100.0,100.0115741,100.0496032,-37.799419,175.246749
7204,M54197,No Aerial,100.0,99.87268519,99.90079365,-37.802673,175.240463
7205,M726,No Aerial,97.91666667,98.92361111,99.20634921,-37.802402,175.239944
7206,M26114,No Aerial,100.0,100.0,99.95039683,-37.802574,175.240982
7207,M3822,No Aerial,100.0,100.0115741,100.0,-37.80281,175.240509
7208,M68302,No Aerial,100.0,100.0,100.0,-37.80265,175.240142
7209,M49408,No Aerial,100.0,100.0231481,100.0496032,-37.795986,175.234451
7210,M5173,No Aerial,100.0,100.0,100.0,-37.79602,175.23439
7211,M38420,No Aerial,100.0,99.88425926,100.0,-37.793895,175.234725
7212,M48426,No Aerial,100.0,100.0,100.0,-37.801806,175.240394
7213,M4274,No Aerial,100.0,100.0231481,100.0,-37.796646,175.236286
7214,M67408,No Aerial,100.0,99.90740741,100.0,-37.777543,175.171053
7215,M24944,No Aerial,100.0,99.98842593,99.95039683,-37.7961,175.236245
7216,M13192,No Aerial,100.0,99.75694444,100.0,-37.795963,175.238058
7217,M39446,No Aerial,100.0,100.0,100.0,-37.795668,175.237468
7218,M2961,No Aerial,98.61111111,99.78009259,99.75198413,-37.771946,175.177545
7219,M63938,No Aerial,100.0,100.0115741,100.0496032,-37.798051,175.159573
7220,M31805,No Aerial,99.65277778,99.375,99.35515873,-37.771595,175.189133
7221,M14214,No Aerial,100.0,100.0,100.0,-37.775788,175.134981
